Question ,Answer 
"كل ما هو آت صحيح عن محفظة بومان ما عدا: أ.  تتصل المسافة المحفظية بجوفها مع لمعة الأنبوب للقريب ب. تتداخل الاستطالات القدمية مع بعضها لتشكيل شقوق الرشح ج. ترسل الخلايت تلقدمية استطالات سيتوبلاسمية باتجاه المسافة المحفظية  د. تعطي الوريقة الحشوية استطالات ترافق تفرعات الاوعية
",ج. ترسل الخلايت تلقدمية استطالات سيتوبلاسمية باتجاه المسافة المحفظية
كل ما يلي صحيح عن السفلس ماعدا: أ. يتميز الطور الاول بسلبية الاختبارات المصلية ب. %25 من الاجنة تموت بعد الوالدة من ام مصابة ج. يتميز الطور الثاني باندفاعات على الجلد والاغشية المخاطية د. يتميز الطور الاول بقرحة صلبة مؤلمة غلى الاعضاء التناسلية , أ. يتميز الطور الاول بقرحة صلبة مؤلمة غلى الاعضاء التناسلية
من العلاجات التلطيفية للحبن الخبيث: أ. البزل المتكرر  ب. المعالجة الشعاعية للبطن ج. المدرات د. المعالجة الكيميائية للورم البطني هـ. تحويلة بريتوانية وريدية, أ. البزل المتكرر
أي مما يلي تستبعد إصابته في الجحوظ الورمي: أ. العصب السادس ب. العصب العاشر ج. العصب البصري د. لا يصاب العصب الثالث  ,ب. العصب العاشر
كل ما يلي صحيح عن المساريقا ما عدا: أ. تؤمن مرور الاعصاب والاوعية للاحشاء  ب. طبقة وحيدة من البريتوان ج. يتشكل الرباط المنجلي من المساريقا البطنية د. يتشكل الثرب الكبير من المساريقا الظهرية للمعدة ,ب. طبقة وحيدة من البريتوان 
من مكونات الجريبات المبيضية وتفرز ال androstenadione: أ. الخلايا الحبيبية ب. خلايا القراب الخارجي ج. خلايا القراب الداخلي د. الخلايا الجريبية ,ب. خلايا القراب الداخل
"الدانترولين يملك تأثير: أ. مرخّي للعضلات الملساء ب. معاكسا لعمل الهيبارين ج. مثبط للفوسفو داي إستراز د. مرخّي للعضلات الهيكلية
",د. مرخّي للعضلات الهيكلية
يتحرر الأستيل كولين من الأماكن التالية عدا: أ. جميع العصبونات قبل العقدة في الجهاز العصبي المستقل ب. جميع العصبونات بعد العقدة في القسم اللاودي ج. العصبونات بعد العقدة في القسم الودي المعصب للغدد العرقية د. العصبونات بعد العقدة في القسم الودي المعصب للغدد اللعابية,ج. العصبونات بعد العقدة في القسم الودي المعصب للغدد اللعابية
ما يلي حول التهاب الكبد المزمن المرتقي الفعال صحيح ما عدا: أ. قد توجد ضخامة كبدية وطحالية ب. النمط المنيع للذات أكثر شيوعاً لدى الذكور ج. من الأعراض: وهن عام وتعب، مع وجود آلام مفصلية د. في الغالب يكون إنذار هذه الحالات سيئا,ب. النمط المنيع للذات أكثر شيوعاً لدى الذكور
كل العوامل التالية تزيد امتصاص الحديد عدا: أ. الإريثروبويتين ب. انخفاض ph الوسط المعوي ج. C الفيتامين د. الكالسيتوني,د. الكالسيتونين